hedId	rdfs:label	Level	omn:SubClassOf	Attributes	dc:description
HED_0042112	Spike	2	Signal-morphology-property		A transient, clearly distinguished from background activity, with pointed peak at a conventional paper speed or time scale and duration from 20 to under 70 ms, i.e. 1/50-1/15 s approximately. Main component is generally negative relative to other areas. Amplitude varies.
HED_0042113	Spike-#	3	Spike	takesValue, valueClass=textClass	Free text.
HED_0042114	Spike-and-slow-wave	2	Signal-morphology-property	annotation=dc:source Beniczky ea 2017 Table 5, annotation=dc:source Beniczky ea 2013 Appendix S4	A pattern consisting of a spike followed by a slow wave.
HED_0042115	Spike-and-slow-wave-#	3	Spike-and-slow-wave	takesValue, valueClass=textClass	Free text.
HED_0042116	Runs-of-rapid-spikes	2	Signal-morphology-property	annotation=dc:source Beniczky ea 2017 Table 5, annotation=dc:source Beniczky ea 2013 Appendix S4	Bursts of spike discharges at a rate from 10 to 25/sec (in most cases somewhat irregular). The bursts last more than 2 seconds (usually 2 to 10 seconds) and the runs are typically seen in sleep. Synonyms: rhythmic spikes, generalized paroxysmal fast activity, fast paroxysmal rhythms, grand mal discharge, fast beta activity.
HED_0042117	Runs-of-rapid-spikes-#	3	Runs-of-rapid-spikes	takesValue, valueClass=textClass	Free text.
HED_0042118	Polyspikes	2	Signal-morphology-property	annotation=dc:source Beniczky ea 2017 Table 5, annotation=dc:source Beniczky ea 2013 Appendix S4	Two or more consecutive spikes.
HED_0042119	Polyspikes-#	3	Polyspikes	takesValue, valueClass=textClass	Free text.
HED_0042120	Polyspike-and-slow-wave	2	Signal-morphology-property	annotation=dc:source Beniczky ea 2017 Table 5, annotation=dc:source Beniczky ea 2013 Appendix S4	Two or more consecutive spikes associated with one or more slow waves.
HED_0042121	Polyspike-and-slow-wave-#	3	Polyspike-and-slow-wave	takesValue, valueClass=textClass	Free text.
HED_0042122	Sharp-wave	2	Signal-morphology-property	annotation=dc:source Beniczky ea 2017 Table 5, annotation=dc:source Beniczky ea 2013 Appendix S4	A transient clearly distinguished from background activity, with pointed peak at a conventional paper speed or time scale, and duration of 70-200 ms, i.e. over 1/4-1/5 s approximately. Main component is generally negative relative to other areas. Amplitude varies.
HED_0042123	Sharp-wave-#	3	Sharp-wave	takesValue, valueClass=textClass	Free text.
HED_0042124	Sharp-and-slow-wave	2	Signal-morphology-property	annotation=dc:source Beniczky ea 2017 Table 5, annotation=dc:source Beniczky ea 2013 Appendix S4	A sequence of a sharp wave and a slow wave.
HED_0042125	Sharp-and-slow-wave-#	3	Sharp-and-slow-wave	takesValue, valueClass=textClass	Free text.
HED_0042126	Slow-sharp-wave	2	Signal-morphology-property	annotation=dc:source Beniczky ea 2017 Table 5, annotation=dc:source Beniczky ea 2013 Appendix S4	A transient that bears all the characteristics of a sharp-wave, but exceeds 200 ms. Synonym: blunted sharp wave.
HED_0042127	Slow-sharp-wave-#	3	Slow-sharp-wave	takesValue, valueClass=textClass	Free text.
HED_0042128	High-frequency-oscillation	2	Signal-morphology-property	annotation=dc:source Wikipedia, annotation=dc:source Beniczky ea 2017 Table 5	High Frequency Oscillation (HFO). Oscillations with a frequency higher than 80 Hz.
HED_0042129	High-frequency-oscillation-#	3	High-frequency-oscillation	takesValue, valueClass=textClass	Free text.
HED_0042130	Hypsarrhythmia-classic	2	Signal-morphology-property	annotation=dc:source Beniczky ea 2017 Table 5, annotation=dc:source Beniczky ea 2013 Appendix S4	Pattern consisting of diffuse chaotic high voltage (more than 300 ??V) irregular slow waves interspersed with multiregional spikes and sharp waves over both hemispheres.
HED_0042131	Hypsarrhythmia-classic-#	3	Hypsarrhythmia-classic	takesValue, valueClass=textClass	Free text.
HED_0042132	Hypsarrhythmia-modified	2	Signal-morphology-property	annotation=dc:source Beniczky ea 2017 Table 5, annotation=dc:source Beniczky ea 2013 Appendix S4	Pattern consisting of diffuse chaotic high voltage (more than 300 ??V) irregular slow waves interspersed with multiregional spikes and sharp waves over both hemispheres.
HED_0042133	Hypsarrhythmia-modified-#	3	Hypsarrhythmia-modified	takesValue, valueClass=textClass	Free text.
HED_0042134	Fast-spike-activity	2	Signal-morphology-property	annotation=dc:source Beniczky ea 2017 Table 12, annotation=dc:source Beniczky ea 2013 Appendix S5	A burst consisting of a sequence of spikes. Duration greater than 1 s. Frequency at least in the alpha range.
HED_0042135	Fast-spike-activity-#	3	Fast-spike-activity	takesValue, valueClass=textClass	Free text.
HED_0042136	Low-voltage-fast-activity	2	Signal-morphology-property	annotation=dc:source Beniczky ea 2017 Table 12, annotation=dc:source Beniczky ea 2013 Appendix S5	Refers to the fast, and often recruiting activity which can be recorded at the onset of an ictal discharge, particularly in invasive EEG recording of a seizure.
HED_0042137	Low-voltage-fast-activity-#	3	Low-voltage-fast-activity	takesValue, valueClass=textClass	Free text.
HED_0042138	Polysharp-waves	2	Signal-morphology-property	annotation=dc:source Beniczky ea 2017 Table 12, annotation=dc:source Beniczky ea 2013 Appendix S5	A sequence of two or more sharp-waves.
HED_0042139	Polysharp-waves-#	3	Polysharp-waves	takesValue, valueClass=textClass	Free text.
HED_0042140	Slow-wave-large-amplitude	2	Signal-morphology-property	annotation=dc:source Beniczky ea 2017 Table 12	Slow wave of large amplitude.
HED_0042141	Slow-wave-large-amplitude-#	3	Slow-wave-large-amplitude	takesValue, valueClass=textClass	Free text.
HED_0042142	Irregular-delta-or-theta-activity	2	Signal-morphology-property	annotation=dc:source Beniczky ea 2017 Table 12, annotation=dc:source Beniczky ea 2013 Appendix S5	EEG activity consisting of repetitive waves of inconsistent wave-duration but in delta and/or theta range (greater than 125 ms).
HED_0042143	Irregular-delta-or-theta-activity-#	3	Irregular-delta-or-theta-activity	takesValue, valueClass=textClass	Free text.
HED_0042144	Electrodecremental-change	2	Signal-morphology-property	annotation=dc:source Beniczky ea 2017 Table 12, annotation=dc:source Beniczky ea 2013 Appendix S5	Sudden desynchronization of electrical activity.
HED_0042145	Electrodecremental-change-#	3	Electrodecremental-change	takesValue, valueClass=textClass	Free text.
HED_0042146	DC-shift	2	Signal-morphology-property	annotation=dc:source Beniczky ea 2017 Table 12, annotation=dc:source Beniczky ea 2013 Appendix S5	Shift of negative polarity of the direct current recordings, during seizures.
HED_0042147	DC-shift-#	3	DC-shift	takesValue, valueClass=textClass	Free text.
HED_0042148	Disappearance-of-ongoing-activity	2	Signal-morphology-property	annotation=dc:source Beniczky ea 2017 Table 12, annotation=dc:source Beniczky ea 2013 Appendix S5	Disappearance of the EEG activity that preceded the ictal event but still remnants of background activity (thus not enough to name it electrodecremental change).
HED_0042149	Disappearance-of-ongoing-activity-#	3	Disappearance-of-ongoing-activity	takesValue, valueClass=textClass	Free text.
HED_0042150	RPP-morphology	2	Signal-morphology-property	suggestedTag=Feature-amplitude, annotation=dc:source Beniczky ea 2017 Table 8	Modifier terms for Rhythmic or Periodic Patterns in critically ill patients (RPPs).
HED_0042151	RPP-with-superimposed-activity	3	RPP-morphology	suggestedTag=Property-not-possible-to-determine, annotation=dc:source Beniczky ea 2017 Table 8	Superimposed activity (for PDs and RDA).
HED_0042152	Superimposed-fast-activity	4	RPP-with-superimposed-activity	suggestedTag=Feature-frequency, annotation=dc:source Beniczky ea 2017 Table 8	Superimposed fast activity.
HED_0042153	Superimposed-fast-activity-#	5	Superimposed-fast-activity	takesValue, valueClass=textClass	Free text.
HED_0042154	Superimposed-rhythmic-activity	4	RPP-with-superimposed-activity	suggestedTag=Feature-frequency, annotation=dc:source Beniczky ea 2017 Table 8	Superimposed rhythmic activity (for PDs only).
HED_0042155	Superimposed-rhythmic-activity-#	5	Superimposed-rhythmic-activity	takesValue, valueClass=textClass	Free text.
HED_0042156	Superimposed-sharp-waves-or-spikes	4	RPP-with-superimposed-activity	annotation=dc:source Beniczky ea 2017 Table 8	Superimposed sharp waves or spikes (for RDA only).
HED_0042157	Superimposed-sharp-waves-or-spikes-#	5	Superimposed-sharp-waves-or-spikes	takesValue, valueClass=textClass	Free text.
HED_0042158	RPP-sharpness	3	RPP-morphology	suggestedTag=Property-not-possible-to-determine, annotation=dc:source Beniczky ea 2017 Table 8	Sharpness (for PDs and SW).
HED_0042159	RPP-spiky	4	RPP-sharpness	annotation=dc:source Beniczky ea 2017 Table 8	Spiky (<70 ms, measured at the baseline). )
HED_0042160	RPP-sharp	4	RPP-sharpness	annotation=dc:source Beniczky ea 2017 Table 8	Sharp (70-200 ms).
HED_0042161	RPP-sharply-contoured	4	RPP-sharpness	annotation=dc:source Beniczky ea 2017 Table 8	Sharply contoured.
HED_0042162	RPP-blunt	4	RPP-sharpness	annotation=dc:source Beniczky ea 2017 Table 8	Blunt.
HED_0042163	Number-of-RPP-phases	3	RPP-morphology	suggestedTag=Property-not-possible-to-determine, suggestedTag=Greater-than, annotation=dc:source Beniczky ea 2017 Table 8	Number of phases (for PDs and SW): 1, 2 or 3.
HED_0042164	Number-of-RPP-phases-#	4	Number-of-RPP-phases	takesValue, valueClass=numericClass	
HED_0042165	Triphasic-morphology	3	RPP-morphology	annotation=dc:source Beniczky ea 2017 Table 8	Waves with three distinct phases (for PDs and SW).
HED_0042166	RPP-absolute-amplitude	3	RPP-morphology	suggestedTag=Property-not-possible-to-determine, suggestedTag=Low, suggestedTag=Medium, suggestedTag=High, annotation=dc:source Beniczky ea 2017 Table 8	Absolute amplitude (for PDs, RDA, SW). Can use suggested tags for amplitude range. Very low, (Feature-amplitude, (Less-than, (Feature-amplitude/20 uv))): less than 20 microV, Low: 20 to 49 microV, Medium: 50 to 199 microV, High: Greater than 200 microV.
HED_0042167	RPP-absolute-amplitude-#	4	RPP-absolute-amplitude	takesValue, valueClass=numericClass, unitClass=electricPotentialUnits	
HED_0042168	RPP-relative-amplitude	3	RPP-morphology	suggestedTag=Property-not-possible-to-determine, suggestedTag=Less-than-or-equal-to, suggestedTag=Greater-than, annotation=dc:source Beniczky ea 2017 Table 8	Relative amplitude (for PDs), should indicate if it's less than or equal to 2 or greater than 2.
HED_0042169	RPP-polarity	3	RPP-morphology	suggestedTag=Positive, suggestedTag=Negative, suggestedTag=Property-not-possible-to-determine, annotation=dc:source Beniczky ea 2017 Table 8	Polarity (for PDs and SW).
HED_0042170	RPP-tangential-polarity	4	RPP-polarity	annotation=dc:source Beniczky ea 2017 Table 8	Tangential/horizontal dipole.
HED_0042171	RPP-tangential-polarity-#	5	RPP-tangential-polarity	takesValue, valueClass=textClass	Free text.
HED_0042172	Sensor-list	1	Feature-property	requireChild	Lists all corresponding sensors (electrodes/channels in montage). The sensor-group is selected from a list defined in the site-settings for each EEG-lab.
HED_0042173	Sensor-list-#	2	Sensor-list	takesValue, valueClass=textClass	Free text.
HED_0042174	Source-analysis-property	1	Feature-property	annotation=dc:source Beniczky ea 2017 Section 8	In case source imaging is done, the results are scored at sublobar level: frontal (perisylvian-superior surface; lateral; mesial; polar; orbitofrontal), temporal (polar; basal, lateral-anterior; lateral-posterior; perisylvian-inferior surface), central (lateral convexity; mesial; central sulcus-anterior surface, central sulcus-posterior surface; opercular), parietal (lateral-convexity; mesial; opercular), occipital (lateral; mesial, basal) and insula.
HED_0042175	Source-analysis-property-#	2	Source-analysis-property	takesValue, valueClass=textClass	Free text.
HED_0042176	Location-property	1	Feature-property	suggestedTag=Left, suggestedTag=Right, suggestedTag=Body-part, annotation=dc:source Beniczky ea 2017 Section 8 and Section 10	Location can be scored for features. Semiologic feature can also be characterized by the somatotopic modifier (i.e. the part of the body where it occurs). In this respect, laterality (left, right, symmetric, asymmetric, left greater than right, right greater than left), body part (eyelid, face, arm, leg, trunk, visceral, left/right) and centricity (axial (trunk), proximal limb, distal limb).
HED_0042177	Feature-propagation	2	Location-property	suggestedTag=Body-part, suggestedTag=Sensor-list	When propagation within the graphoelement is observed, first the location of the onset region is scored. Then, the location of the propagation can be noted.
HED_0042178	Feature-propagation-#	3	Feature-propagation	takesValue, valueClass=textClass	Free text.
HED_0042179	Multifocal-feature	2	Location-property	suggestedTag=Property-not-possible-to-determine	When the same interictal graphoelement is observed bilaterally and at least in three independent locations, can score them using one entry, and choosing multifocal as a descriptor of the locations of the given interictal graphoelements, optionally emphasizing the involved, and the most active sites.
HED_0042180	Multifocal-feature-#	3	Multifocal-feature	takesValue, valueClass=textClass	Free text.
HED_0042181	Modulators-property	1	Feature-property	annotation=dc:source Beniczky ea 2017 Section 10	For each described graphoelement, the influence of the modulators can be scored. Only modulators present in the recording are scored.
HED_0042182	Modulators-reactivity	2	Modulators-property	suggestedTag=Modulator, suggestedTag=Feature-stopped-by, suggestedTag=Increasing, suggestedTag=Decreasing, annotation=dc:source Beniczky ea 2013 Appendix S2	Susceptibility of individual rhythms or the EEG as a whole to change following sensory stimulation or other physiologic actions. The type of stimulus can be a modulator or can be specified in free-text.
HED_0042183	Modulators-reactivity-#	3	Modulators-reactivity	takesValue, valueClass=textClass	Free text.
HED_0042184	Facilitating-factor	2	Modulators-property	suggestedTag=Catamenial, suggestedTag=Fever, suggestedTag=Intoxicated, suggestedTag=Awake, suggestedTag=Asleep, suggestedTag=Sleep-deprivation, annotation=dc:source Beniczky ea 2013	The facilitating factors (if known) can be selected: alcohol (Suggested tag: Intoxicated), awakening, catamenial, fever, sleep, sleep-deprivation, other (free text). Facilitating factors are defined as transient and sporadic endogenous or exogenous elements capable of augmenting seizure incidence (increasing the likelihood of seizure occurrence).
HED_0042185	Other-facilitating-factor	3	Facilitating-factor		
HED_0042186	Other-facilitating-factor-#	4	Other-facilitating-factor	takesValue, valueClass=textClass	Free text.
HED_0042187	Provocative-factor	2	Modulators-property	suggestedTag=Hyperventilation, annotation=dc:source Beniczky ea 2013	Provocative factors are defined as transient and sporadic endogenous or exogenous elements capable of evoking/triggering seizures immediately following the exposure to it.
HED_0042188	Reflex-provoked	3	Provocative-factor		
HED_0042189	Reflex-provoked-#	4	Reflex-provoked	takesValue, valueClass=textClass	Free text.
HED_0042190	Other-provocative-factor	3	Provocative-factor		
HED_0042191	Other-provocative-factor-#	4	Other-provocative-factor	takesValue, valueClass=textClass	Free text.
HED_0042192	Intermittent-photic-stimulation-effect	2	Modulators-property	suggestedTag=Normal, annotation=dc:source Beniczky ea 2017	The effect of Intermittent Photic Stimulation (IPS) is scored according to the terminology proposed by Kasteleijn-Nolst Trenite ea (2001).
HED_0042193	Posterior-stimulus-dependent-response	3	Intermittent-photic-stimulation-effect	suggestedTag=Feature-frequency, annotation=dc:source Trenite ea 2001, annotation=dc:source Beniczky ea 2017 Table 7	Anomalous steady-state VEPs, of unusually sharp waveform or high amplitude. Some types have clinical correlates, for instance, occipital spikes after suppression of generalized PPR by medication and high-amplitude VEPs in neuronal ceroid lipofuscinosis.
HED_0042194	Posterior-stimulus-independent-response-limited	3	Intermittent-photic-stimulation-effect	suggestedTag=Feature-frequency, annotation=dc:source Trenite ea 2001, annotation=dc:source Beniczky ea 2017 Table 7	Limited to the stimulus train: Activity confined to or maximal at the back of the head and not at the flash frequency or at a harmonic thereof. The term includes delta and theta activity and frank epileptiform patterns.
HED_0042195	Posterior-stimulus-independent-response-self-sustained	3	Intermittent-photic-stimulation-effect	suggestedTag=Feature-frequency, annotation=dc:source Trenite ea 2001, annotation=dc:source Beniczky ea 2017 Table 7	Self-sustaining: Self-sustaining posterior stimulus-independent responses that outlast the stimulus train. These often last many seconds and may evolve to an overt seizure.
HED_0042196	Generalized-photoparoxysmal-response-limited	3	Intermittent-photic-stimulation-effect	suggestedTag=Feature-frequency, annotation=dc:source Trenite ea 2001, annotation=dc:source Beniczky ea 2017 Table 7	Limited to the stimulus train: Comprises multiple spikes or spike-and-wave activity, which are apparently generalized, but may be of greater amplitude at the front or back of the head. It is termed a photoconvulsive response (PCR) by Bickford et al., and corresponds to type 4 response of Waltz et al.
HED_0042197	Generalized-photoparoxysmal-response-self-sustained	3	Intermittent-photic-stimulation-effect	suggestedTag=Feature-frequency, annotation=dc:source Trenite ea 2001, annotation=dc:source Beniczky ea 2017 Table 7	Self-sustaining: Generalized PPR continuing after stimulation. This may not be demonstrated unless the stimulus train is terminated as soon as a generalized PPR is identified. It was termed prolonged photoconvulsive response by Reilly and Peters, and has a strong association with epilepsy and visually induced seizures in patients referred for clinical EEG examination. Its prevalence in asymptomatic general populations is unknown, but was found in five of 13,658 apparently healthy aircrew by Gregory et al.
HED_0042198	Activation-of-pre-existing-epileptogenic-area	3	Intermittent-photic-stimulation-effect	suggestedTag=Feature-frequency, annotation=dc:source Trenite ea 2001, annotation=dc:source Beniczky ea 2017 Table 7	Rarely, photic stimulation may activate an epileptogenic cortex, which is also spontaneously active; IPS could then also elicit a seizure by stimulating this, usually posterior located, area. It is questionable whether this should be considered a photoparoxysmal response (PPR), and it does not figure in established classifications.
HED_0042199	Time-related-property	1	Feature-property	annotation=dc:source Beniczky ea 2017 Table 6 Table 8	Estimates of how often a graphoelement is seen in the recording.
HED_0042200	Appearance-mode	2	Time-related-property	suggestedTag=Property-not-possible-to-determine, suggestedTag=Random, suggestedTag=Repetitive, suggestedTag=Varying, annotation=dc:source Beniczky ea 2017 Table 6, annotation=dc:source Beniczky ea 2013 Appendix 4.	Describes how the non-ictal EEG pattern/graphoelement is distributed through the recording. Occurrence of the non-ictal EEG pattern / graphoelement can be Random, Repetitive or Varying. Random: occurring without any rhythmicity / periodicity, Repetitive: occurring at an approximately regular rate / interval (generally of 1 to several seconds). Variable: occurring sometimes rhythmic or periodic, other times random, throughout the recording.)
HED_0042201	Appearance-mode-#	3	Appearance-mode	takesValue, valueClass=textClass	Free text.
HED_0042202	Discharge-pattern	2	Time-related-property	annotation=dc:source Beniczky ea 2017 Table 6, annotation=dc:source Beniczky ea 2013 Appendix 4	Describes the organization of the EEG signal within the discharge (distinguish between single and repetitive discharges).
HED_0042203	Single-discharge	3	Discharge-pattern	suggestedTag=Feature-incidence, annotation=dc:source Beniczky ea 2017 Table 6, annotation=dc:source Beniczky ea 2013 Appendix 4	Applies to the intra-burst pattern: a graphoelement that is not repetitive; before and after the graphoelement one can distinguish the background activity.
HED_0042204	Rhythmic-trains-or-bursts	3	Discharge-pattern	suggestedTag=Feature-prevalence, suggestedTag=Feature-frequency, annotation=dc:source Beniczky ea 2017 Table 6, annotation=dc:source Beniczky ea 2013 Appendix 4	Applies to the intra-burst pattern: a non-ictal graphoelement that repeats itself without returning to the background activity between them. The graphoelements within this repetition occur at approximately constant period.
HED_0042205	Arrhythmic-trains-or-bursts	3	Discharge-pattern	suggestedTag=Feature-prevalence, annotation=dc:source Beniczky ea 2017 Table 6, annotation=dc:source Beniczky ea 2013 Appendix 4	Applies to the intra-burst pattern: a non-ictal graphoelement that repeats itself without returning to the background activity between them. The graphoelements within this repetition occur at inconstant period.
HED_0042206	Fragmented-discharge	3	Discharge-pattern	annotation=dc:source Beniczky ea 2017 Table 6	
HED_0042207	RPP-time-related-feature	2	Time-related-property	annotation=dc:source Beniczky ea 2017 Table 8	Time related feature for Rhythmic or Periodic Patterns in critically ill patients (RPPs).
HED_0042208	RPP-duration	3	RPP-time-related-feature	annotation=dc:source Beniczky ea 2017 Table 8	Duration (for PDs, RDA and SW). The suggestedTag Property-not-possible-to-determine may be used if it is not possible to determine.
HED_0042209	Very-brief-RPP-duration	4	RPP-duration	annotation=dc:source Beniczky ea 2017 Table 8	Less than 10 sec.
HED_0042210	Brief-RPP-duration	4	RPP-duration	annotation=dc:source Beniczky ea 2017 Table 8	10 to 59 sec.
HED_0042211	Intermediate-RPP-duration	4	RPP-duration	annotation=dc:source Beniczky ea 2017 Table 8	1 to 4.9 min.
HED_0042212	Long-RPP-duration	4	RPP-duration	annotation=dc:source Beniczky ea 2017 Table 8	5 to 59 min.
HED_0042213	Very-long-RPP-duration	4	RPP-duration	annotation=dc:source Beniczky ea 2017 Table 8	Greater than 1 hour.
HED_0042214	RPP-onset	3	RPP-time-related-feature	annotation=dc:source Beniczky ea 2017 Table 8	Onset (for PDs, RDA and SW). The suggestedTag Property-not-possible-to-determine may be used if it is not possible to determine.
HED_0042215	Sudden-RPP-onset	4	RPP-onset	annotation=dc:source Beniczky ea 2017 Table 8	Sudden (progressing from absent to well developed within 3 s.
HED_0042216	Gradual-RPP-onset	4	RPP-onset	annotation=dc:source Beniczky ea 2017 Table 8	Gradual onset.
HED_0042217	RPP-dynamics	3	RPP-time-related-feature	annotation=dc:source Beniczky ea 2017 Table 8	Dynamics (for PDs, RDA and SW). The suggestedTag Property-not-possible-to-determine may be used if it is not possible to determine.
HED_0042218	Evolving-RPP-dynamics	4	RPP-dynamics	annotation=dc:source Beniczky ea 2017 Table 8	
HED_0042219	Evolving-RPP-dynamics-#	5	Evolving-RPP-dynamics	takesValue, valueClass=textClass	Free text.
HED_0042220	Fluctuating-RPP-dynamics	4	RPP-dynamics	annotation=dc:source Beniczky ea 2017 Table 8	
HED_0042221	Fluctuating-RPP-dynamics-#	5	Fluctuating-RPP-dynamics	takesValue, valueClass=textClass	Free text.
HED_0042222	Static-RPP-dynamics	4	RPP-dynamics	annotation=dc:source Beniczky ea 2017 Table 8	
HED_0042223	Static-RPP-dynamics-#	5	Static-RPP-dynamics	takesValue, valueClass=textClass, annotation=dc:source Beniczky ea 2017 Section 8 and Table 6	Free text.
HED_0042224	Feature-incidence	2	Time-related-property		For single discharges, estimates of how often features are seen in the recording are scored as incidence (how often it occurs/time-epoch).
HED_0042225	One-time-incidence	3	Feature-incidence	annotation=dc:source Beniczky ea 2017 Table 6	
HED_0042226	Rare-feature-incidence	3	Feature-incidence	annotation=dc:source Beniczky ea 2017 Table 6	Less than 1/h.
HED_0042227	Uncommon-feature-incidence	3	Feature-incidence	annotation=dc:source Beniczky ea 2017 Table 6	1/5 min to 1/h.
HED_0042228	Occasional-feature-incidence	3	Feature-incidence	annotation=dc:source Beniczky ea 2017 Table 6	1/min to 1/5min.
HED_0042229	Frequent-feature-incidence	3	Feature-incidence	annotation=dc:source Beniczky ea 2017 Table 6	1/10 s to 1/min.
HED_0042230	Abundant-feature-incidence	3	Feature-incidence	annotation=dc:source Beniczky ea 2017 Table 6	Greater than 1/10 s. (Source: Beniczky ea 2017, Table 6.)
HED_0042231	Feature-prevalence	2	Time-related-property	annotation=dc:source Beniczky ea 2017 Section 8 Table 6 Table 8	For trains or bursts, estimates of how often features are seen in the recording are scored as prevalence (the percentage of the recording covered by the train/burst).
HED_0042232	Rare-prevalence	3	Feature-prevalence	annotation=dc:source Beniczky ea 2017 Table 6 and Table 8	Less than 1 percent.
HED_0042233	Occasional-prevalence	3	Feature-prevalence	annotation=dc:source Beniczky ea 2017 Table 6 and Table 8	1 to 9 percent.
HED_0042234	Frequent-prevalence	3	Feature-prevalence	annotation=dc:source Beniczky ea 2017 Table 6 and Table	10 to 49 percent.
HED_0042235	Abundant-prevalence	3	Feature-prevalence	annotation=dc:source Beniczky ea 2017 Table 6 and Table 8	50 to 89 percent.
HED_0042236	Continuous-prevalence	3	Feature-prevalence	annotation=dc:source Beniczky ea 2017 Table 6 and Table 8	Greater than 90 percent.
HED_0042237	Posterior-dominant-rhythm-property	1	Feature-property	suggestedTag=Feature-frequency, suggestedTag=Feature-amplitude, annotation=dc:source Beniczky ea 2017 Section 6 and Table 4	Posterior dominant rhythm is the most often scored EEG feature in clinical practice. Therefore, there are specific terms that can be chosen for characterizing the PDR. Note that frequency and amplitude can be further described to be symmetrical or asymmetrical.
HED_0042238	Posterior-dominant-rhythm-amplitude-range	2	Posterior-dominant-rhythm-property	suggestedTag=Low, suggestedTag=Medium, suggestedTag=High, annotation=dc:source Beniczky ea 2017 Table 4	Low: less than 20 microV, Medium: 20 to 70 microVSource, High: more than 70 microV.
HED_0042239	Posterior-dominant-rhythm-eye-opening-reactivity	2	Posterior-dominant-rhythm-property	suggestedTag=Property-not-possible-to-determine, suggestedTag=Left, suggestedTag=Right, annotation=dc:source Beniczky ea 2013 Appendix S2, annotation=dc:source Beniczky ea 2017 Table 4	Change (disappearance or measurable decrease in amplitude) of a posterior dominant rhythm following eye-opening. Eye closure has the opposite effect.
HED_0042240	Posterior-dominant-rhythm-organization	2	Posterior-dominant-rhythm-property	suggestedTag=Normal, annotation=dc:source Beniczky ea 2017 Table 4	Posterior dominant rhythm organization. When normal could be labeled with suggested tag.
HED_0042241	Posterior-dominant-rhythm-organization-poorly-organized	3	Posterior-dominant-rhythm-organization	annotation=dc:source Beniczky ea 2017 Table 4	Poorly organized.
HED_0042242	Posterior-dominant-rhythm-organization-disorganized	3	Posterior-dominant-rhythm-organization	annotation=dc:source Beniczky ea 2017 Table 4	Disorganized.
HED_0042243	Posterior-dominant-rhythm-organization-markedly-disorganized	3	Posterior-dominant-rhythm-organization	annotation=dc:source Beniczky ea 2017 Table 4	Markedly disorganized.
HED_0042244	Posterior-dominant-rhythm-caveat	2	Posterior-dominant-rhythm-property	suggestedTag=None, suggestedTag=Eyes-open, suggestedTag=Sleep-deprivation, suggestedTag=Drowsy, suggestedTag=Hyperventilation, annotation=dc:source Beniczky ea 2017 Table 4	Caveats for PDR annotation, use suggestedTags to indicate whether there were: no caveats, only open eyes during the recording, sleep-deprived, drowsy or only following hyperventilation.
HED_0042245	Absence-of-posterior-dominant-rhythm	2	Posterior-dominant-rhythm-property	suggestedTag=Data-artifact, suggestedTag=Asleep, annotation=dc:source Beniczky ea 2017 Table 4	Reason for absence of PDR.
HED_0042246	Absence-of-posterior-dominant-rhythm-extreme-low-voltage	3	Absence-of-posterior-dominant-rhythm	annotation=dc:source Beniczky ea 2017 Table 4	
HED_0042247	Absence-of-posterior-dominant-rhythm-eye-closure-could-not-be-achieved	3	Absence-of-posterior-dominant-rhythm	annotation=dc:source Beniczky ea 2017 Table 4	
HED_0042248	Absence-of-posterior-dominant-rhythm-lack-of-compliance	3	Absence-of-posterior-dominant-rhythm	annotation=dc:source Beniczky ea 2017 Table 4	
HED_0042249	Absence-of-posterior-dominant-rhythm-other-causes	3	Absence-of-posterior-dominant-rhythm	requireChild	annotation=dc:source Beniczky ea 2017 Table 4.
HED_0042250	Absence-of-posterior-dominant-rhythm-other-causes-#	4	Absence-of-posterior-dominant-rhythm-other-causes	takesValue, valueClass=textClass	Free text.
HED_0042251	Episode-property	1	Feature-property		Episode property pertains to the set of characteristics that collectively depict different aspects of an episode, encompassing its manifestations and phases.
HED_0042252	Seizure-classification	2	Episode-property	annotation=dc:source Fisher ea 2017, annotation=dc:source Beniczky ea 2017	Seizure classification refers to the grouping of seizures based on their clinical features, EEG patterns, and other characteristics. Epileptic seizures are named using the current ILAE seizure classification.
HED_0042253	Myoclonic-seizure	3	Seizure-classification	suggestedTag=Duration, annotation=dc:source Fisher ea 2017 Table 2, annotation=dc:source Duration tag from Beniczky ea Table 13	Sudden, brief (lower than 100 msec) involuntary single or multiple contraction(s) of muscles(s) or muscle groups of variable topography (axial, proximal limb, distal). Myoclonus is less regularly repetitive and less sustained than is clonus. Definition from ILAE 2017 Classification of Seizure Types Expanded Version.
HED_0042254	Negative-myoclonic-seizure	3	Seizure-classification	suggestedTag=Duration	annotation=dc:source Beniczky ea 2017 Supplement 1, annotation=dc:source Duration tag from Beniczky ea Table 13
HED_0042255	Motor-seizure	3	Seizure-classification	suggestedTag=Duration, annotation=dc:source Fisher ea 2017 Table 2, annotation=dc:source Duration tag from Beniczky ea Table 13	Involves musculature in any form. The motor event could consist of an increase (positive) or decrease (negative) in muscle contraction to produce a movement. Definition from ILAE 2017 Classification of Seizure Types Expanded Version.
HED_0042256	Clonic-seizure	4	Motor-seizure	annotation=dc:source Fisher ea 2017 Table 2	Jerking, either symmetric or asymmetric, that is regularly repetitive and involves the same muscle groups. Definition from ILAE 2017 Classification of Seizure Types Expanded Version.
