hedId	Level	rdfs:label	omn:SubClassOf	Attributes	dc:description	owm:EquivalentTo 
HED_0012317	6	EEG-recorder	Recording-device		A device for recording electric currents in the brain using electrodes applied to the scalp, to the surface of the brain, or placed within the substance of the brain.	Recording-device
HED_0012318	6	File-storage	Recording-device		A device for recording digital information to a permanent media.	Recording-device
HED_0012319	6	MEG-recorder	Recording-device		A device for measuring the magnetic fields produced by electrical activity in the brain, usually conducted externally.	Recording-device
HED_0012320	6	Motion-capture	Recording-device		A device for recording the movement of objects or people.	Recording-device
HED_0012321	6	Tape-recorder	Recording-device		A device for recording and reproduction usually using magnetic tape for storage that can be saved and played back.	Recording-device
HED_0012322	5	Touchscreen	IO-device		A control component that operates an electronic device by pressing the display on the screen.	IO-device
HED_0012323	4	Machine	Device		A human-made device that uses power to apply forces and control movement to perform an action.	Device
HED_0012324	4	Measurement-device	Device		A device that measures something.	Device
HED_0012325	5	Clock	Measurement-device		A device designed to indicate the time of day or to measure the time duration of an event or action.	Measurement-device
HED_0012326	6	Clock-face	Clock	deprecatedFrom=8.2.0	A location identifier based on clockface numbering or anatomic subregion. As an object, just use the tag Clock.	"Clock and (deprecatedFrom value ""8.2.0"")"
HED_0012327	4	Robot	Device		A mechanical device that sometimes resembles a living animal and is capable of performing a variety of often complex human tasks on command or by being programmed in advance.	Device
HED_0012328	4	Tool	Device		A component that is not part of a device but is designed to support its assembly or operation.	Device
HED_0012329	3	Document	Man-made-object		A physical object, or electronic counterpart, that is characterized by containing writing which is meant to be human-readable.	Man-made-object
HED_0012330	4	Book	Document		A volume made up of pages fastened along one edge and enclosed between protective covers.	Document
HED_0012331	4	Letter	Document		A written message addressed to a person or organization.	Document
HED_0012332	4	Note	Document		A brief written record.	Document
HED_0012333	4	Notebook	Document		A book for notes or memoranda.	Document
HED_0012334	4	Questionnaire	Document		A document consisting of questions and possibly responses, depending on whether it has been filled out.	Document
HED_0012335	3	Furnishing	Man-made-object		Furniture, fittings, and other decorative accessories, such as curtains and carpets, for a house or room.	Man-made-object
HED_0012336	3	Manufactured-material	Man-made-object		Substances created or extracted from raw materials.	Man-made-object
HED_0012337	4	Ceramic	Manufactured-material		A hard, brittle, heat-resistant and corrosion-resistant material made by shaping and then firing a nonmetallic mineral, such as clay, at a high temperature.	Manufactured-material
HED_0012338	4	Glass	Manufactured-material		A brittle transparent solid with irregular atomic structure.	Manufactured-material
HED_0012339	4	Paper	Manufactured-material		A thin sheet material produced by mechanically or chemically processing cellulose fibres derived from wood, rags, grasses or other vegetable sources in water.	Manufactured-material
HED_0012340	4	Plastic	Manufactured-material		Various high-molecular-weight thermoplastic or thermosetting polymers that are capable of being molded, extruded, drawn, or otherwise shaped and then hardened into a form.	Manufactured-material
HED_0012341	4	Steel	Manufactured-material		An alloy made up of iron with typically a few tenths of a percent of carbon to improve its strength and fracture resistance compared to iron.	Manufactured-material
HED_0012342	3	Media	Man-made-object		Media are audio/visual/audiovisual modes of communicating information for mass consumption.	Man-made-object
HED_0012343	4	Media-clip	Media		A short segment of media.	Media
HED_0012344	5	Audio-clip	Media-clip		A short segment of audio.	Media-clip
HED_0012345	5	Audiovisual-clip	Media-clip		A short media segment containing both audio and video.	Media-clip
HED_0012346	5	Video-clip	Media-clip		A short segment of video.	Media-clip
HED_0012347	4	Visualization	Media		An planned process that creates images, diagrams or animations from the input data.	Media
HED_0012348	5	Animation	Visualization		A form of graphical illustration that changes with time to give a sense of motion or represent dynamic changes in the portrayal.	Visualization
HED_0012349	5	Art-installation	Visualization		A large-scale, mixed-media constructions, often designed for a specific place or for a temporary period of time.	Visualization
HED_0012350	5	Braille	Visualization		A display using a system of raised dots that can be read with the fingers by people who are blind.	Visualization
HED_0012351	5	Image	Visualization		Any record of an imaging event whether physical or electronic.	Visualization
HED_0012352	6	Cartoon	Image		A type of illustration, sometimes animated, typically in a non-realistic or semi-realistic style. The specific meaning has evolved over time, but the modern usage usually refers to either an image or series of images intended for satire, caricature, or humor. A motion picture that relies on a sequence of illustrations for its animation.	Image
HED_0012353	6	Drawing	Image		A representation of an object or outlining a figure, plan, or sketch by means of lines.	Image
HED_0012354	6	Icon	Image		A sign (such as a word or graphic symbol) whose form suggests its meaning.	Image
HED_0012355	6	Painting	Image		A work produced through the art of painting.	Image
HED_0012356	6	Photograph	Image		An image recorded by a camera.	Image
HED_0012357	5	Movie	Visualization		A sequence of images displayed in succession giving the illusion of continuous movement.	Visualization
HED_0012358	5	Outline-visualization	Visualization		A visualization consisting of a line or set of lines enclosing or indicating the shape of an object in a sketch or diagram.	Visualization
HED_0012359	5	Point-light-visualization	Visualization		A display in which action is depicted using a few points of light, often generated from discrete sensors in motion capture.	Visualization
HED_0012360	5	Sculpture	Visualization		A two- or three-dimensional representative or abstract forms, especially by carving stone or wood or by casting metal or plaster.	Visualization
HED_0012361	5	Stick-figure-visualization	Visualization		A drawing showing the head of a human being or animal as a circle and all other parts as straight lines.	Visualization
HED_0012362	3	Navigational-object	Man-made-object		An object whose purpose is to assist directed movement from one location to another.	Man-made-object
HED_0012363	4	Path	Navigational-object		A trodden way. A way or track laid down for walking or made by continual treading.	Navigational-object
HED_0012364	4	Road	Navigational-object		An open way for the passage of vehicles, persons, or animals on land.	Navigational-object
HED_0012365	5	Lane	Road		A defined path with physical dimensions through which an object or substance may traverse.	Road
HED_0012366	4	Runway	Navigational-object		A paved strip of ground on a landing field for the landing and takeoff of aircraft.	Navigational-object
HED_0012367	3	Vehicle	Man-made-object		A mobile machine which transports people or cargo.	Man-made-object
HED_0012368	4	Aircraft	Vehicle		A vehicle which is able to travel through air in an atmosphere.	Vehicle
HED_0012369	4	Bicycle	Vehicle		A human-powered, pedal-driven, single-track vehicle, having two wheels attached to a frame, one behind the other.	Vehicle
HED_0012370	4	Boat	Vehicle		A watercraft of any size which is able to float or plane on water.	Vehicle
HED_0012371	4	Car	Vehicle		A wheeled motor vehicle used primarily for the transportation of human passengers.	Vehicle
HED_0012372	4	Cart	Vehicle		A cart is a vehicle which has two wheels and is designed to transport human passengers or cargo.	Vehicle
HED_0012373	4	Tractor	Vehicle		A mobile machine specifically designed to deliver a high tractive effort at slow speeds, and mainly used for the purposes of hauling a trailer or machinery used in agriculture or construction.	Vehicle
HED_0012374	4	Train	Vehicle		A connected line of railroad cars with or without a locomotive.	Vehicle
HED_0012375	4	Truck	Vehicle		A motor vehicle which, as its primary function, transports cargo rather than human passengers.	Vehicle
HED_0012376	2	Natural-object	Object		Something that exists in or is produced by nature, and is not artificial or man-made.	Object
HED_0012377	3	Mineral	Natural-object		A solid, homogeneous, inorganic substance occurring in nature and having a definite chemical composition.	Natural-object
HED_0012378	3	Natural-feature	Natural-object		A feature that occurs in nature. A prominent or identifiable aspect, region, or site of interest.	Natural-object
HED_0012379	4	Field	Natural-feature		An unbroken expanse as of ice or grassland.	Natural-feature
HED_0012380	4	Hill	Natural-feature		A rounded elevation of limited extent rising above the surrounding land with local relief of less than 300m.	Natural-feature
HED_0012381	4	Mountain	Natural-feature		A landform that extends above the surrounding terrain in a limited area.	Natural-feature
HED_0012382	4	River	Natural-feature		A natural freshwater surface stream of considerable volume and a permanent or seasonal flow, moving in a definite channel toward a sea, lake, or another river.	Natural-feature
HED_0012383	4	Waterfall	Natural-feature		A sudden descent of water over a step or ledge in the bed of a river.	Natural-feature
HED_0012384	1	Sound	Item		Mechanical vibrations transmitted by an elastic medium. Something that can be heard.	Item
HED_0012385	2	Environmental-sound	Sound		Sounds occurring in the environment. An accumulation of noise pollution that occurs outside. This noise can be caused by transport, industrial, and recreational activities.	Sound
HED_0012386	3	Crowd-sound	Environmental-sound		Noise produced by a mixture of sounds from a large group of people.	Environmental-sound
HED_0012387	3	Signal-noise	Environmental-sound		Any part of a signal that is not the true or original signal but is introduced by the communication mechanism.	Environmental-sound
HED_0012388	2	Musical-sound	Sound		Sound produced by continuous and regular vibrations, as opposed to noise.	Sound
HED_0012389	3	Instrument-sound	Musical-sound		Sound produced by a musical instrument.	Musical-sound
HED_0012390	3	Tone	Musical-sound		A musical note, warble, or other sound used as a particular signal on a telephone or answering machine.	Musical-sound
HED_0012391	3	Vocalized-sound	Musical-sound		Musical sound produced by vocal cords in a biological agent.	Musical-sound
HED_0012392	2	Named-animal-sound	Sound		A sound recognizable as being associated with particular animals.	Sound
HED_0012393	3	Barking	Named-animal-sound		Sharp explosive cries like sounds made by certain animals, especially a dog, fox, or seal.	Named-animal-sound
HED_0012394	3	Bleating	Named-animal-sound		Wavering cries like sounds made by a sheep, goat, or calf.	Named-animal-sound
HED_0012395	3	Chirping	Named-animal-sound		Short, sharp, high-pitched noises like sounds made by small birds or an insects.	Named-animal-sound
HED_0012396	3	Crowing	Named-animal-sound		Loud shrill sounds characteristic of roosters.	Named-animal-sound
HED_0012397	3	Growling	Named-animal-sound		Low guttural sounds like those that made in the throat by a hostile dog or other animal.	Named-animal-sound
HED_0012398	3	Meowing	Named-animal-sound		Vocalizations like those made by as those cats. These sounds have diverse tones and are sometimes chattered, murmured or whispered. The purpose can be assertive.	Named-animal-sound
HED_0012399	3	Mooing	Named-animal-sound		Deep vocal sounds like those made by a cow.	Named-animal-sound
HED_0012400	3	Purring	Named-animal-sound		Low continuous vibratory sound such as those made by cats. The sound expresses contentment.	Named-animal-sound
HED_0012401	3	Roaring	Named-animal-sound		Loud, deep, or harsh prolonged sounds such as those made by big cats and bears for long-distance communication and intimidation.	Named-animal-sound
HED_0012402	3	Squawking	Named-animal-sound		Loud, harsh noises such as those made by geese.	Named-animal-sound
HED_0012403	2	Named-object-sound	Sound		A sound identifiable as coming from a particular type of object.	Sound
HED_0012404	3	Alarm-sound	Named-object-sound		A loud signal often loud continuous ringing to alert people to a problem or condition that requires urgent attention.	Named-object-sound
HED_0012405	3	Beep	Named-object-sound		A short, single tone, that is typically high-pitched and generally made by a computer or other machine.	Named-object-sound
HED_0012406	3	Buzz	Named-object-sound		A persistent vibratory sound often made by a buzzer device and used to indicate something incorrect.	Named-object-sound
HED_0012407	3	Click	Named-object-sound		The sound made by a mechanical cash register, often to designate a reward.	Named-object-sound
HED_0012408	3	Ding	Named-object-sound		A short ringing sound such as that made by a bell, often to indicate a correct response or the expiration of time.	Named-object-sound
HED_0012409	3	Horn-blow	Named-object-sound		A loud sound made by forcing air through a sound device that funnels air to create the sound, often used to sound an alert.	Named-object-sound
HED_0012410	3	Ka-ching	Named-object-sound		The sound made by a mechanical cash register, often to designate a reward.	Named-object-sound
HED_0012411	3	Siren	Named-object-sound		A loud, continuous sound often varying in frequency designed to indicate an emergency.	Named-object-sound
HED_0012412	0	Property	HedTag	extensionAllowed	Something that pertains to a thing. A characteristic of some entity. A quality or feature regarded as a characteristic or inherent part of someone or something. HED attributes are adjectives or adverbs.	HedTag and (extensionAllowed value true) and (inHedSchema some StandardSchema
HED_0012413	1	Agent-property	Property		Something that pertains to or describes an agent.	Property
HED_0012414	2	Agent-state	Agent-property		The state of the agent.	Agent-property
HED_0012415	3	Agent-cognitive-state	Agent-state		The state of the cognitive processes or state of mind of the agent.	Agent-state
HED_0012416	4	Alert	Agent-cognitive-state		Condition of heightened watchfulness or preparation for action.	Agent-cognitive-state
HED_0012417	4	Anesthetized	Agent-cognitive-state		Having lost sensation to pain or having senses dulled due to the effects of an anesthetic.	Agent-cognitive-state
HED_0012418	4	Asleep	Agent-cognitive-state		Having entered a periodic, readily reversible state of reduced awareness and metabolic activity, usually accompanied by physical relaxation and brain activity.	Agent-cognitive-state
HED_0012419	4	Attentive	Agent-cognitive-state		Concentrating and focusing mental energy on the task or surroundings.	Agent-cognitive-state
HED_0012420	4	Awake	Agent-cognitive-state		In a non sleeping state.	Agent-cognitive-state
HED_0012421	4	Brain-dead	Agent-cognitive-state		Characterized by the irreversible absence of cortical and brain stem functioning.	Agent-cognitive-state
HED_0012422	4	Comatose	Agent-cognitive-state		In a state of profound unconsciousness associated with markedly depressed cerebral activity.	Agent-cognitive-state
HED_0012423	4	Distracted	Agent-cognitive-state		Lacking in concentration because of being preoccupied.	Agent-cognitive-state
HED_0012424	4	Drowsy	Agent-cognitive-state		In a state of near-sleep, a strong desire for sleep, or sleeping for unusually long periods.	Agent-cognitive-state
HED_0012425	4	Intoxicated	Agent-cognitive-state		In a state with disturbed psychophysiological functions and responses as a result of administration or ingestion of a psychoactive substance.	Agent-cognitive-state
HED_0012426	4	Locked-in	Agent-cognitive-state		In a state of complete paralysis of all voluntary muscles except for the ones that control the movements of the eyes.	Agent-cognitive-state
HED_0012427	4	Passive	Agent-cognitive-state		Not responding or initiating an action in response to a stimulus.	Agent-cognitive-state
HED_0012428	4	Resting	Agent-cognitive-state		A state in which the agent is not exhibiting any physical exertion.	Agent-cognitive-state
HED_0012429	4	Vegetative	Agent-cognitive-state		A state of wakefulness and conscience, but (in contrast to coma) with involuntary opening of the eyes and movements (such as teeth grinding, yawning, or thrashing of the extremities).	Agent-cognitive-state
HED_0012430	3	Agent-emotional-state	Agent-state		The status of the general temperament and outlook of an agent.	Agent-state
HED_0012431	4	Angry	Agent-emotional-state		Experiencing emotions characterized by marked annoyance or hostility.	Agent-emotional-state
HED_0012432	4	Aroused	Agent-emotional-state		In a state reactive to stimuli leading to increased heart rate and blood pressure, sensory alertness, mobility and readiness to respond.	Agent-emotional-state
HED_0012433	4	Awed	Agent-emotional-state		Filled with wonder. Feeling grand, sublime or powerful emotions characterized by a combination of joy, fear, admiration, reverence, and/or respect.	Agent-emotional-state
HED_0012434	4	Compassionate	Agent-emotional-state		Feeling or showing sympathy and concern for others often evoked for a person who is in distress and associated with altruistic motivation.	Agent-emotional-state
HED_0012435	4	Content	Agent-emotional-state		Feeling satisfaction with things as they are.	Agent-emotional-state
HED_0012436	4	Disgusted	Agent-emotional-state		Feeling revulsion or profound disapproval aroused by something unpleasant or offensive.	Agent-emotional-state
HED_0012437	4	Emotionally-neutral	Agent-emotional-state		Feeling neither satisfied nor dissatisfied.	Agent-emotional-state
HED_0012438	4	Empathetic	Agent-emotional-state		Understanding and sharing the feelings of another. Being aware of, being sensitive to, and vicariously experiencing the feelings, thoughts, and experience of another.	Agent-emotional-state
HED_0012439	4	Excited	Agent-emotional-state		Feeling great enthusiasm and eagerness.	Agent-emotional-state
HED_0012440	4	Fearful	Agent-emotional-state		Feeling apprehension that one may be in danger.	Agent-emotional-state
HED_0012441	4	Frustrated	Agent-emotional-state		Feeling annoyed as a result of being blocked, thwarted, disappointed or defeated.	Agent-emotional-state
HED_0012442	4	Grieving	Agent-emotional-state		Feeling sorrow in response to loss, whether physical or abstract.	Agent-emotional-state
HED_0012443	4	Happy	Agent-emotional-state		Feeling pleased and content.	Agent-emotional-state
HED_0012444	4	Jealous	Agent-emotional-state		Feeling threatened by a rival in a relationship with another individual, in particular an intimate partner, usually involves feelings of threat, fear, suspicion, distrust, anxiety, anger, betrayal, and rejection.	Agent-emotional-state
HED_0012445	4	Joyful	Agent-emotional-state		Feeling delight or intense happiness.	Agent-emotional-state
HED_0012446	4	Loving	Agent-emotional-state		Feeling a strong positive emotion of affection and attraction.	Agent-emotional-state
HED_0012447	4	Relieved	Agent-emotional-state		No longer feeling pain, distress,anxiety, or reassured.	Agent-emotional-state
HED_0012448	4	Sad	Agent-emotional-state		Feeling grief or unhappiness.	Agent-emotional-state
HED_0012449	4	Stressed	Agent-emotional-state		Experiencing mental or emotional strain or tension.	Agent-emotional-state
HED_0012450	3	Agent-physiological-state	Agent-state		Having to do with the mechanical, physical, or biochemical function of an agent.	Agent-state
HED_0012451	4	Healthy	Agent-physiological-state	relatedTag=Sick	Having no significant health-related issues.	Agent-physiological-state and (relatedTag some Sick)
HED_0012452	4	Hungry	Agent-physiological-state	relatedTag=Sated, relatedTag=Thirsty	Being in a state of craving or desiring food.	Agent-physiological-state and (relatedTag some Sated) and (relatedTag some Thirsty)
HED_0012453	4	Rested	Agent-physiological-state	relatedTag=Tired	Feeling refreshed and relaxed.	Agent-physiological-state and (relatedTag some Tired)
HED_0012454	4	Sated	Agent-physiological-state	relatedTag=Hungry	Feeling full.	Agent-physiological-state and (relatedTag some Hungry)
HED_0012455	4	Sick	Agent-physiological-state	relatedTag=Healthy	Being in a state of ill health, bodily malfunction, or discomfort.	Agent-physiological-state and (relatedTag some Healthy)
HED_0012456	4	Thirsty	Agent-physiological-state	relatedTag=Hungry	Feeling a need to drink.	Agent-physiological-state and (relatedTag some Hungry)
HED_0012457	4	Tired	Agent-physiological-state	relatedTag=Rested	Feeling in need of sleep or rest.	Agent-physiological-state and (relatedTag some Rested)
HED_0012458	3	Agent-postural-state	Agent-state		Pertaining to the position in which agent holds their body.	Agent-state
HED_0012459	4	Crouching	Agent-postural-state		Adopting a position where the knees are bent and the upper body is brought forward and down, sometimes to avoid detection or to defend oneself.	Agent-postural-state
HED_0012460	4	Eyes-closed	Agent-postural-state		Keeping eyes closed with no blinking.	Agent-postural-state
HED_0012461	4	Eyes-open	Agent-postural-state		Keeping eyes open with occasional blinking.	Agent-postural-state
HED_0012462	4	Kneeling	Agent-postural-state		Positioned where one or both knees are on the ground.	Agent-postural-state
HED_0012463	4	On-treadmill	Agent-postural-state		Ambulation on an exercise apparatus with an endless moving belt to support moving in place.	Agent-postural-state
HED_0012464	4	Prone	Agent-postural-state		Positioned in a recumbent body position whereby the person lies on its stomach and faces downward.	Agent-postural-state
HED_0012465	4	Seated-with-chin-rest	Agent-postural-state		Using a device that supports the chin and head.	Agent-postural-state
HED_0012466	4	Sitting	Agent-postural-state		In a seated position.	Agent-postural-state
HED_0012467	4	Standing	Agent-postural-state		Assuming or maintaining an erect upright position.	Agent-postural-state
HED_0012468	2	Agent-task-role	Agent-property		The function or part that is ascribed to an agent in performing the task.	Agent-property
HED_0012469	3	Experiment-actor	Agent-task-role		An agent who plays a predetermined role to create the experiment scenario.	Agent-task-role
HED_0012470	3	Experiment-controller	Agent-task-role		An agent exerting control over some aspect of the experiment.	Agent-task-role
HED_0012471	3	Experiment-participant	Agent-task-role		Someone who takes part in an activity related to an experiment.	Agent-task-role
HED_0012472	3	Experimenter	Agent-task-role		Person who is the owner of the experiment and has its responsibility.	Agent-task-role
HED_0012473	2	Agent-trait	Agent-property		A genetically, environmentally, or socially determined characteristic of an agent.	Agent-property
HED_0012474	3	Age	Agent-trait		Length of time elapsed time since birth of the agent.	Agent-trait
HED_0012475	4	Age-#	Age	takesValue, valueClass=numericClass		Age and (valueClass some numericClass)
HED_0012476	3	Agent-experience-level	Agent-trait		Amount of skill or knowledge that the agent has as pertains to the task.	Agent-trait
HED_0012477	4	Expert-level	Agent-experience-level	relatedTag=Intermediate-experience-level, relatedTag=Novice-level	Having comprehensive and authoritative knowledge of or skill in a particular area related to the task.	Agent-experience-level and (relatedTag some Intermediate-experience-level) and (relatedTag some Novice-level)
HED_0012478	4	Intermediate-experience-level	Agent-experience-level	relatedTag=Expert-level, relatedTag=Novice-level	Having a moderate amount of knowledge or skill related to the task.	Agent-experience-level and (relatedTag some Expert-level) and (relatedTag some Novice-level)
HED_0012479	4	Novice-level	Agent-experience-level	relatedTag=Expert-level, relatedTag=Intermediate-experience-level	Being inexperienced in a field or situation related to the task.	Agent-experience-level and (relatedTag some Expert-level) and (relatedTag some Intermediate-experience-level)
HED_0012480	3	Ethnicity	Agent-trait		Belong to a social group that has a common national or cultural tradition. Use with Label to avoid extension.	Agent-trait
HED_0012481	3	Gender	Agent-trait		Characteristics that are socially constructed, including norms, behaviors, and roles based on sex.	Agent-trait
HED_0012482	3	Handedness	Agent-trait		Individual preference for use of a hand, known as the dominant hand.	Agent-trait
HED_0012483	4	Ambidextrous	Handedness		Having no overall dominance in the use of right or left hand or foot in the performance of tasks that require one hand or foot.	Handedness
HED_0012484	4	Left-handed	Handedness		Preference for using the left hand or foot for tasks requiring the use of a single hand or foot.	Handedness
HED_0012485	4	Right-handed	Handedness		Preference for using the right hand or foot for tasks requiring the use of a single hand or foot.	Handedness
HED_0012486	3	Race	Agent-trait		Belonging to a group sharing physical or social qualities as defined within a specified society. Use with Label to avoid extension.	Agent-trait
HED_0012487	3	Sex	Agent-trait		Physical properties or qualities by which male is distinguished from female.	Agent-trait
HED_0012488	4	Female	Sex		Biological sex of an individual with female sexual organs such ova.	Sex
HED_0012489	4	Intersex	Sex		Having genitalia and/or secondary sexual characteristics of indeterminate sex.	Sex
HED_0012490	4	Male	Sex		Biological sex of an individual with male sexual organs producing sperm.	Sex
HED_0012491	4	Other-sex	Sex		A non-specific designation of sexual traits.	Sex
HED_0012492	1	Data-property	Property	extensionAllowed	Something that pertains to data or information.	Property and (extensionAllowed value true)
HED_0012493	2	Data-artifact	Data-property		An anomalous, interfering, or distorting signal originating from a source other than the item being studied.	Data-property
HED_0012494	3	Biological-artifact	Data-artifact		A data artifact arising from a biological entity being measured.	Data-artifact
HED_0012495	4	Chewing-artifact	Biological-artifact		Artifact from moving the jaw in a chewing motion.	Biological-artifact
HED_0012496	4	ECG-artifact	Biological-artifact		An electrical artifact from the far-field potential from pulsation of the heart, time locked to QRS complex.	Biological-artifact
HED_0012497	4	EMG-artifact	Biological-artifact		Artifact from muscle activity and myogenic potentials at the measurements site. In EEG, myogenic potentials are the most common artifacts. Frontalis and temporalis muscles (e.g. clenching of jaw muscles) are common causes. Generally, the potentials generated in the muscles are of shorter duration than those generated in the brain. The frequency components are usually beyond 30-50 Hz, and the bursts are arrhythmic.	Biological-artifact
HED_0012498	4	Eye-artifact	Biological-artifact		Ocular movements and blinks can result in artifacts in different types of data. In electrophysiology data, these can result transients and offsets the signal.	Biological-artifact
HED_0012499	5	Eye-blink-artifact	Eye-artifact		Artifact from eye blinking. In EEG, Fp1/Fp2 electrodes become electropositive with eye closure because the cornea is positively charged causing a negative deflection in Fp1/Fp2. If the eye blink is unilateral, consider prosthetic eye.	Eye-artifact
HED_0012500	5	Eye-movement-artifact	Eye-artifact		Eye movements can cause artifacts on recordings. The charge of the eye can especially cause artifacts in electrophysiology data.	Eye-artifact
HED_0012501	6	Horizontal-eye-movement-artifact	Eye-movement-artifact		Artifact from moving eyes left-to-right and right-to-left. In EEG, there is an upward deflection in the Fp2-F8 derivation, when the eyes move to the right side. In this case F8 becomes more positive and therefore. When the eyes move to the left, F7 becomes more positive and there is an upward deflection in the Fp1-F7 derivation.	Eye-movement-artifact
HED_0012502	6	Nystagmus-artifact	Eye-movement-artifact		Artifact from nystagmus (a vision condition in which the eyes make repetitive, uncontrolled movements).	Eye-movement-artifact
HED_0012503	6	Slow-eye-movement-artifact	Eye-movement-artifact		Artifacts originating from slow, rolling eye-movements, seen during drowsiness.	Eye-movement-artifact
HED_0012504	6	Vertical-eye-movement-artifact	Eye-movement-artifact		Artifact from moving eyes up and down. In EEG, this causes positive potentials (50-100 micro V) with bi-frontal distribution, maximum at Fp1 and Fp2, when the eyeball rotates upward. The downward rotation of the eyeball is associated with the negative deflection. The time course of the deflections is similar to the time course of the eyeball movement.	Eye-movement-artifact
HED_0012505	4	Movement-artifact	Biological-artifact		Artifact in the measured data generated by motion of the subject.	Biological-artifact
HED_0012506	4	Pulse-artifact	Biological-artifact		A mechanical artifact from a pulsating blood vessel near a measurement site, cardioballistic artifact.	Biological-artifact
HED_0012507	4	Respiration-artifact	Biological-artifact		Artifact from breathing.	Biological-artifact
HED_0012508	4	Rocking-patting-artifact	Biological-artifact		Quasi-rhythmical artifacts in recordings most commonly seen in infants. Typically caused by a caregiver rocking or patting the infant.	Biological-artifact
HED_0012509	4	Sucking-artifact	Biological-artifact		Artifact from sucking, typically seen in very young cases.	Biological-artifact
HED_0012510	4	Sweat-artifact	Biological-artifact		Artifact from sweating. In EEG, this is a low amplitude undulating waveform that is usually greater than 2 seconds and may appear to be an unstable baseline.	Biological-artifact
HED_0012511	4	Tongue-movement-artifact	Biological-artifact		Artifact from tongue movement (Glossokinetic). The tongue functions as a dipole, with the tip negative with respect to the base. In EEG, the artifact produced by the tongue has a broad potential field that drops from frontal to occipital areas, although it is less steep than that produced by eye movement artifacts. The amplitude of the potentials is greater inferiorly than in parasagittal regions; the frequency is variable but usually in the delta range. Chewing and sucking can produce similar artifacts.	Biological-artifact
HED_0012512	3	Nonbiological-artifact	Data-artifact		A data artifact arising from a non-biological source.	Data-artifact
HED_0012513	4	Artificial-ventilation-artifact	Nonbiological-artifact		Artifact stemming from mechanical ventilation. These can occur at the same rate as the ventilator, but also have other patterns.	Nonbiological-artifact
HED_0012514	4	Dialysis-artifact	Nonbiological-artifact		Artifacts seen in recordings during continuous renal replacement therapy (dialysis).	Nonbiological-artifact
HED_0012515	4	Electrode-movement-artifact	Nonbiological-artifact		Artifact from electrode movement.	Nonbiological-artifact
HED_0012516	4	Electrode-pops-artifact	Nonbiological-artifact		Brief artifact with a steep rise and slow fall of an electrophysiological signal, most often caused by a loose electrode.	Nonbiological-artifact
HED_0012517	4	Induction-artifact	Nonbiological-artifact		Artifacts induced by nearby equipment. In EEG, these are usually of high frequency.	Nonbiological-artifact
HED_0012518	4	Line-noise-artifact	Nonbiological-artifact		Power line noise at 50 Hz or 60 Hz.	Nonbiological-artifact
HED_0012519	5	Line-noise-artifact-#	Line-noise-artifact	takesValue, valueClass=numericClass, unitClass=frequencyUnits		Line-noise-artifact and (valueClass some numericClass) and (unitClass some frequencyUnits)
HED_0012520	4	Salt-bridge-artifact	Nonbiological-artifact		Artifact from salt-bridge between EEG electrodes.	Nonbiological-artifact
HED_0012521	2	Data-marker	Data-property		An indicator placed to mark something.	Data-property
HED_0012522	3	Data-break-marker	Data-marker		An indicator place to indicate a gap in the data.	Data-marker
HED_0012523	3	Temporal-marker	Data-marker		An indicator placed at a particular time in the data.	Data-marker
HED_0012524	4	Inset	Temporal-marker	topLevelTagGroup, reserved, relatedTag=Onset, relatedTag=Offset	Marks an intermediate point in an ongoing event of temporal extent.	Temporal-marker and (topLevelTagGroup value true) and (reserved value true) and (relatedTag some Onset) and (relatedTag some Offset)
HED_0012525	4	Offset	Temporal-marker	topLevelTagGroup, reserved, relatedTag=Onset, relatedTag=Inset	Marks the end of an event of temporal extent.	Temporal-marker and (topLevelTagGroup value true) and (reserved value true) and (relatedTag some Onset) and (relatedTag some Inset)
HED_0012526	4	Onset	Temporal-marker	topLevelTagGroup, reserved, relatedTag=Inset, relatedTag=Offset	Marks the start of an ongoing event of temporal extent.	Temporal-marker and (topLevelTagGroup value true) and (reserved value true) and (relatedTag some Inset) and (relatedTag some Offset)
HED_0012527	4	Pause	Temporal-marker		Indicates the temporary interruption of the operation of a process and subsequently a wait for a signal to continue.	Temporal-marker
HED_0012528	4	Time-out	Temporal-marker		A cancellation or cessation that automatically occurs when a predefined interval of time has passed without a certain event occurring.	Temporal-marker
HED_0012529	4	Time-sync	Temporal-marker		A synchronization signal whose purpose is to help synchronize different signals or processes. Often used to indicate a marker inserted into the recorded data to allow post hoc synchronization of concurrently recorded data streams.	Temporal-marker
HED_0012530	2	Data-resolution	Data-property		Smallest change in a quality being measured by an sensor that causes a perceptible change.	Data-property
HED_0012531	3	Printer-resolution	Data-resolution		Resolution of a printer, usually expressed as the number of dots-per-inch for a printer.	Data-resolution
HED_0012532	4	Printer-resolution-#	Printer-resolution	takesValue, valueClass=numericClass		Printer-resolution and (valueClass some numericClass)
HED_0012533	3	Screen-resolution	Data-resolution		Resolution of a screen, usually expressed as the of pixels in a dimension for a digital display device.	Data-resolution
HED_0012534	4	Screen-resolution-#	Screen-resolution	takesValue, valueClass=numericClass		Screen-resolution and (valueClass some numericClass)
HED_0012535	3	Sensory-resolution	Data-resolution		Resolution of measurements by a sensing device.	Data-resolution
HED_0012536	4	Sensory-resolution-#	Sensory-resolution	takesValue, valueClass=numericClass		Sensory-resolution and (valueClass some numericClass)
